2;167
3;206
4;203
5;194
6;241
7;178
8;232
9;208
10;215
11;208
12;205
13;170
14;223
15;169
16;232
17;209
18;203
19;225
20;226
21;119
22;138
23;220
24;138
25;167
26;128
27;233
28;155
29;167
30;232
31;202
32;236
33;197
34;221
35;204
36;232
37;206
38;208
39;184
40;228
41;194
42;203
43;181
44;146
45;215
46;189
47;174
48;204
49;147
50;218
51;226
52;150
53;233
54;212
55;188
56;222
57;184
58;234
59;224
60;141
61;173
62;210
63;181
64;163
65;170
66;266
67;244
68;232
69;195
70;244
71;241
72;163
73;246
74;227
75;175
76;153
77;181
78;228
79;259
80;233
81;182
82;136
83;183
84;250
85;229
86;207
87;184
88;204
89;213
90;220
91;179
92;237
93;234
94;198
95;158
96;245
97;183
98;219
99;208
100;163
101;228
102;220
103;176
104;205
105;219
106;196
107;204
108;233
109;191
110;232
111;150
112;183
113;213
114;233
115;151
116;270
117;258
118;175
119;193
120;186
121;200
122;212
123;204
124;254
125;193
126;170
127;192
128;199
129;243
130;233
131;253
132;228
133;216
134;199
135;239
136;247
137;223
138;228
139;232
140;216
141;175
142;228
143;195
144;193
145;163
146;239
147;220
148;234
149;231
150;237
151;212
152;201
153;211
154;152
155;181
156;203
157;228
158;245
159;228
160;182
161;214
162;206
163;205
164;231
165;220
166;237
167;229
168;205
169;181
170;255
171;239
172;199
173;238
174;223
175;183
176;262
177;217
178;234
179;259
180;183
181;171
182;163
183;231
184;259
185;258
186;214
187;182
188;254
189;208
190;148
191;243
192;183
193;172
194;223
195;224
196;222
197;216
198;225
199;243
200;255
201;207
202;211
203;190
204;256
205;250
206;215
207;137
208;163
209;216
210;165
211;195
212;197
213;252
214;203
215;218
216;179
217;210
218;211
219;219
220;240
221;223
222;185
223;181
224;239
225;210
226;184
227;221
228;201
229;243
230;200
231;177
232;207
233;193
234;223
235;211
236;252
237;253
238;195
239;199
240;199
241;258
242;223
243;237
244;269
245;243
246;202
247;267
248;184
249;247
250;183
251;211
252;206
253;226
254;216
255;235
256;249
257;215
258;193
259;226
260;195
261;217
262;259
263;231
264;230
265;178
266;185
267;186
268;166
269;214
270;240
271;157
272;224
273;242
274;236
275;211
276;229
277;206
278;219
279;180
280;221
281;174
282;180
283;231
284;236
285;251
286;209
287;243
288;195
289;218
290;185
291;155
292;206
293;196
294;208
295;223
296;191
297;180
298;245
299;215
300;230
301;242
302;235
303;252
304;228
305;216
306;241
307;260
308;184
309;255
310;218
311;230
312;198
313;218
314;195
315;218
316;236
317;175
318;214
319;231
320;213
321;224
322;223
323;142
324;242
325;173
326;226
327;168
328;167
329;188
330;221
331;213
332;168
333;190
334;238
335;171
336;234
337;192
338;202
339;178
340;227
341;124
342;220
343;237
344;214
345;253
346;222
347;204
348;214
349;139
350;203
